"feature","Astro.L1.FGFR3.MT1G","Endo.L2.5.CLDN5","VLMC.L1.3.CYP1B1","Peri.L1.6.MUSTN1","Astro.L1.FGFR3.FOS","Oligo.L4.6.MOBP.COL18A1","OPC.L1.6.MYT1","Micro.L1.6.C1QC","Oligo.L4.6.OPALIN","Astro.L1.6.FGFR3.ETNPPL"
"SLC7A6",0,0.20461538,0,0,0.12589286,0.11468421,0.07277586,1.3361279,0,0.23948894
"SLC7A6OS",0,0,0,0,0,0,0,0,0,0
"SLC7A7",0.15229358,0,0.0925,0,0.15321429,0.068105265,0.013127148,0.19493805,0.014128879,0.11008264
"SLC7A8",0,0.030384615,0,0,0.15589286,0,0,0,0,0.06191989
"SLC7A9",0,0,0.0825,0,0.021071428,0,0,0,0,0.0041298345
"SLC8A1",0.08678899,0.12,0.73,0.31083333,0.059107143,0.26121053,9.16165,10.231387,0.12493248,0.2849862
"SLC8A1-AS1",0.10073394,0,0.085,0.020833334,0.14894737,0.13357894,0.24963793,0.24661921,0.041752577,0.19013812
"SLC8A2",0.045,0,0,0,0.08678571,0.078894734,0,0.025008881,0.0069785886,0.073991716
"SLC8A3",0,0,0,0,0.087678574,0.02536842,1.7079483,0,0,0
"SLC8B1",0,0,0.24625,0,0.042678572,0,0,0,0,0.031381216
"SLC9A1",0,0,0.14125,1.23375,0.011964286,0.007,0,0,0,0.018107735
"SLC9A2",0,0,0,0,0,0,0,0,0,0
"SLC9A3",0,0,0,0,0,0,0,0,0,0
"SLC9A3P1",0,0,0,0,0,0,0,0,0,0
"SLC9A3P2",0,0,0,0,0,0,0,0,0,0
"SLC9A3P3",0,0,0,0,0,0,0,0,0,0
"SLC9A3R1",0.47825688,0,0,0,0.32214287,0,0,0,0,0.9018232
"SLC9A3R2",0,1.1567308,0,0,0,0,0,0,0,0
"SLC9A4",0,0,0,0,0,0,0,0,0,0
"SLC9A5",0,0,0.88625,0,0,0,0,0,0,0
"SLC9A6",0.11418182,0,0.175,0,0.0325,0.08895288,0.027931035,0,0.0010739857,0.11236914
"SLC9A7",0.42633027,0.21150944,0.0925,0.26666668,0.37,0.09471204,1.3953104,0.13014235,0.052750397,2.2784965
"SLC9A7P1",0,0,0,0,0,0,0,0,0,0
"SLC9A8",0.84036696,0.105576925,0.0625,0,1.09375,0.5079474,0.2746816,0.17478724,0.22619237,1.2820442
"SLC9A9",4.8557534,0.18711539,1.622,0.21291667,6.481892,8.507857,7.212248,10.447984,7.449358,6.086556
"SLC9A9-AS1",0,0,0,0,0,0,0,0,0,0
"SLC9B1",0.15174311,0,0,0,0.7625,0.34252632,0.07074138,0.021296626,0.07559618,0.24046962
"SLC9B1P1",0,0,0,0,0,0,0,0,0,0
"SLC9B1P2",0,0,0.0825,0,0,0,0,0,0,0
"SLC9B1P3",0,0,0,0,0,0,0,0,0,0
"SLC9B1P4",0,0,0,0,0,0,0,0,0,0
"SLC9B1P5",0,0,0,0,0,0,0,0,0,0
"SLC9B2",0,0,0,0,0,0,0,0,0,0
"SLC9C1",0,0,0,0,0.00875,0,0,0,0,0
"SLC9C2",0.31954128,0.16576923,0.2625,0.020833334,0.6314286,0.1243979,0.033367697,0.05456483,0.030318217,0.37393647
